Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,109.110001,109.669998,107.550003,109.650002,109.650002,7241700
2019-01-02,108.099998,109.139999,107.730003,108.970001,108.970001,9723500
2019-01-03,108.480003,108.650002,105.940002,106.330002,106.330002,10589900
2019-01-04,107.940002,110.750000,107.250000,109.610001,109.610001,10122800
2019-01-07,109.910004,111.400002,109.300003,110.559998,110.559998,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,111.419998,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,112.669998,5931900
2019-01-10,111.989998,112.910004,111.500000,112.800003,112.800003,6160100
2019-01-11,112.180000,112.919998,111.730003,112.650002,112.650002,4819100
2019-01-14,111.650002,112.699997,111.430000,112.419998,112.419998,6980600
2019-01-15,112.300003,113.180000,110.610001,111.760002,111.760002,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,110.910004,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,111.010002,6392000
2019-01-18,111.860001,111.930000,110.830002,111.040001,111.040001,8554700
2019-01-22,110.620003,111.330002,109.750000,110.599998,110.599998,6986700
2019-01-23,111.190002,111.839996,110.000000,111.120003,111.120003,6845600
2019-01-24,111.000000,111.110001,109.930000,110.550003,110.550003,6716800
2019-01-25,111.470001,111.500000,110.660004,111.089996,111.089996,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,110.809998,6178800
2019-01-29,110.650002,110.930000,110.000000,110.900002,110.900002,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,110.129997,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,111.519997,8351600
2019-02-01,111.970001,112.050003,110.930000,111.300003,111.300003,6557700
2019-02-04,111.410004,111.980003,110.680000,111.800003,111.800003,7037000
2019-02-05,112.019997,112.739998,111.449997,112.660004,112.660004,13619800
2019-02-06,113.849998,113.919998,111.070000,111.410004,111.410004,14229000
2019-02-07,111.050003,111.110001,109.809998,110.949997,110.949997,8658100
2019-02-08,110.459999,111.540001,110.059998,111.510002,111.510002,6395500
2019-02-11,111.769997,111.809998,109.250000,109.440002,109.440002,11086400
2019-02-12,110.209999,110.830002,109.150002,109.199997,109.199997,7610200
2019-02-13,109.239998,110.480003,109.230003,110.199997,110.199997,6919700
2019-02-14,109.849998,111.500000,109.540001,110.660004,110.660004,6324300
2019-02-15,111.400002,112.629997,111.029999,112.589996,112.589996,8197300
2019-02-19,112.910004,113.769997,112.830002,113.510002,113.510002,8169600
2019-02-20,113.599998,114.089996,113.290001,113.680000,113.680000,7081500
2019-02-21,113.400002,114.540001,112.870003,114.290001,114.290001,9480100
2019-02-22,114.629997,115.769997,113.949997,115.250000,115.250000,8734700
2019-02-25,115.620003,115.800003,113.459999,113.589996,113.589996,9327700
2019-02-26,113.650002,114.010002,112.849998,113.500000,113.500000,8956000
2019-02-27,113.099998,113.510002,112.459999,112.779999,112.779999,7249500
2019-02-28,112.900002,113.430000,112.750000,112.839996,112.839996,6716700
2019-03-01,113.449997,114.440002,113.449997,114.010002,114.010002,6996900
2019-03-04,114.419998,114.419998,113.089996,114.330002,114.330002,6015000
2019-03-05,114.230003,114.540001,113.760002,114.000000,114.000000,5225100
2019-03-06,114.000000,115.050003,114.000000,114.849998,114.849998,7352800
2019-03-07,114.849998,114.900002,113.470001,114.010002,114.010002,6322000
2019-03-08,113.459999,113.839996,112.900002,113.809998,113.809998,6549100
2019-03-11,114.040001,115.000000,114.029999,114.750000,114.750000,6952700
2019-03-12,114.720001,115.300003,114.040001,114.730003,114.730003,9920300
2019-03-13,114.839996,114.849998,113.720001,114.089996,114.089996,17994500
2019-03-14,114.120003,114.769997,113.930000,114.480003,114.480003,17409600
2019-03-15,114.500000,115.480003,113.680000,114.959999,114.959999,14932700
2019-03-18,113.029999,114.000000,112.459999,113.120003,113.120003,21769800
2019-03-19,112.949997,113.709999,109.800003,110.000000,110.000000,45384400
2019-03-20,110.309998,110.879997,108.050003,109.989998,109.989998,35588700
2019-03-21,110.099998,110.150002,108.370003,108.660004,108.660004,27438900
2019-03-22,108.330002,109.000000,107.510002,108.230003,108.230003,24133800
2019-03-25,108.489998,109.070000,107.320000,107.790001,107.790001,18187500
2019-03-26,108.400002,110.339996,108.269997,110.139999,110.139999,16693100
2019-03-27,110.449997,111.089996,109.730003,110.279999,110.279999,10794800
2019-03-28,110.599998,111.269997,110.239998,110.709999,110.709999,11748900
2019-03-29,111.559998,111.599998,110.389999,111.029999,111.029999,16358800
2019-04-01,111.589996,112.870003,111.379997,112.510002,112.510002,10785100
2019-04-02,113.150002,113.309998,111.919998,111.959999,111.959999,9231800
2019-04-03,112.699997,113.110001,112.209999,112.519997,112.519997,10534900
2019-04-04,113.239998,114.860001,113.029999,114.750000,114.750000,14378400
2019-04-05,114.970001,115.129997,114.309998,115.000000,115.000000,10907900
2019-04-08,115.000000,115.830002,114.639999,114.959999,114.959999,11054200
2019-04-09,115.610001,117.160004,115.279999,116.860001,116.860001,17340300
2019-04-10,117.580002,118.029999,116.279999,117.160004,117.160004,14091100
2019-04-11,117.730003,117.860001,116.320000,116.599998,116.599998,12784500
2019-04-12,127.910004,130.899994,126.360001,130.059998,130.059998,65253500
2019-04-15,131.050003,132.699997,129.789993,132.039993,132.039993,32773700
2019-04-16,131.750000,132.130005,129.559998,129.899994,129.899994,14564300
2019-04-17,129.809998,132.360001,129.279999,131.750000,131.750000,14253700
2019-04-18,131.770004,132.869995,131.110001,132.449997,132.449997,11890600
